com_pos_x,com_pos_y,com_pos_z,com_quat_w,com_quat_x,com_quat_y,com_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15
0.00729355,0.0760949,0.433553,0.0286283,-0.255422,0.0156845,0.966278,-0.213056,0.92992,-0.603202,-3.0734e-05,-2.06135,0.261374,-0.39019,-0.597321,2.30255,-0.20984,-1.12856,1.70809,0.000168364,3.49654e-06,5.32615e-06,-0.000189072
0.00723217,0.0759177,0.433556,0.0287496,-0.255451,0.0158659,0.966264,-0.213056,0.92992,-0.603202,-2.71953e-05,-2.06135,0.261436,-0.389146,-0.597562,2.30221,-0.20801,-1.12992,1.71174,0.000168364,3.05034e-06,5.53246e-06,-0.000189222
0.00717328,0.0757396,0.433555,0.0288672,-0.255482,0.0160468,0.96625,-0.213056,0.92992,-0.603202,-2.41749e-05,-2.06135,0.261488,-0.388092,-0.597786,2.30187,-0.206128,-1.13132,1.7155,0.000168364,2.63995e-06,5.71111e-06,-0.000189373
0.00711658,0.0755606,0.433552,0.0289805,-0.255513,0.0162267,0.966235,-0.213056,0.92992,-0.603202,-2.15944e-05,-2.06135,0.261533,-0.387026,-0.597995,2.30153,-0.204193,-1.13274,1.71934,0.000168364,2.27074e-06,5.8571e-06,-0.000189524
0.0070617,0.0753805,0.433546,0.0290902,-0.255545,0.0164063,0.96622,-0.213056,0.92992,-0.603202,-1.93877e-05,-2.06136,0.26157,-0.385949,-0.598194,2.30118,-0.202206,-1.13418,1.72328,0.000168364,1.94685e-06,5.96634e-06,-0.000189674
0.00700824,0.0751987,0.433538,0.0291981,-0.255577,0.0165865,0.966205,-0.213056,0.92992,-0.603202,-1.74983e-05,-2.06136,0.261603,-0.384857,-0.598382,2.30083,-0.200167,-1.13566,1.7273,0.000168364,1.6719e-06,6.03546e-06,-0.000189822
0.0069558,0.0750145,0.433529,0.0293062,-0.25561,0.0167686,0.96619,-0.213056,0.92992,-0.603202,-1.58778e-05,-2.06136,0.26163,-0.383751,-0.598563,2.30047,-0.198078,-1.13715,1.73141,0.000168364,1.44921e-06,6.06177e-06,-0.00018997
0.00690406,0.0748274,0.433518,0.0294159,-0.255645,0.0169535,0.966174,-0.213056,0.92992,-0.603202,-1.44852e-05,-2.06136,0.261654,-0.38263,-0.598737,2.30011,-0.195939,-1.13867,1.73559,0.000168364,1.28171e-06,6.04313e-06,-0.000190117
0.00685268,0.0746372,0.433506,0.0295282,-0.255681,0.0171417,0.966158,-0.213056,0.92992,-0.603202,-1.32851e-05,-2.06136,0.261674,-0.381494,-0.598906,2.29974,-0.193751,-1.1402,1.73986,0.000168364,1.17253e-06,5.97753e-06,-0.000190263
0.00680144,0.0744439,0.433493,0.0296432,-0.255718,0.0173333,0.966141,-0.213056,0.92992,-0.603202,-1.22475e-05,-2.06136,0.261691,-0.380342,-0.59907,2.29936,-0.191515,-1.14176,1.74419,0.000168364,1.12425e-06,5.86317e-06,-0.000190408
0.00675021,0.0742475,0.43348,0.0297608,-0.255756,0.0175282,0.966124,-0.213056,0.92992,-0.603202,-1.13476e-05,-2.06136,0.261705,-0.379174,-0.59923,2.29898,-0.189231,-1.14333,1.7486,0.000168364,1.13905e-06,5.69845e-06,-0.000190553
0.00669891,0.074048,0.433465,0.0298808,-0.255796,0.0177263,0.966106,-0.213056,0.92992,-0.603202,-1.05641e-05,-2.06136,0.261718,-0.377991,-0.599387,2.2986,-0.186901,-1.14493,1.75307,0.000168364,1.2185e-06,5.48204e-06,-0.000190698
0.00664748,0.0738456,0.43345,0.0300033,-0.255837,0.0179276,0.966088,-0.213056,0.92992,-0.603202,-9.87966e-06,-2.06136,0.261729,-0.376793,-0.599542,2.2982,-0.184525,-1.14653,1.7576,0.000168364,1.36381e-06,5.21284e-06,-0.000190842
0.00659586,0.0736402,0.433433,0.0301285,-0.255878,0.0181321,0.966069,-0.213056,0.92992,-0.603202,-9.27918e-06,-2.06136,0.261738,-0.375579,-0.599695,2.29781,-0.182104,-1.14815,1.76219,0.000168364,1.57593e-06,4.88995e-06,-0.000190985
0.00654395,0.0734317,0.433417,0.0302571,-0.255921,0.0183402,0.96605,-0.213056,0.92992,-0.603202,-8.74994e-06,-2.06136,0.261746,-0.374351,-0.599846,2.2974,-0.179641,-1.14978,1.76684,0.000168364,1.85569e-06,4.51269e-06,-0.000191128
0.00649415,0.0732209,0.433395,0.0303862,-0.255962,0.0185501,0.966031,-0.213056,0.92992,-0.603202,-8.2725e-06,-2.06136,0.261753,-0.373108,-0.599996,2.29699,-0.177134,-1.15142,1.77154,0.000168364,2.21947e-06,4.0713e-06,-0.000191273
0.00644641,0.0730103,0.433372,0.030508,-0.255998,0.018757,0.966014,-0.213056,0.92992,-0.603202,-7.84859e-06,-2.06136,0.261759,-0.371852,-0.600144,2.29658,-0.174587,-1.15307,1.77629,0.000168364,2.64998e-06,3.57302e-06,-0.000191419
