time_s,base_error_x_m,base_error_y_m,base_error_z_m,base_orientation_error_rad,wheel_error_fl_m,wheel_error_fr_m,wheel_error_rl_m,wheel_error_rr_m,contact_mismatch_fl,contact_mismatch_fr,contact_mismatch_rl,contact_mismatch_rr,solve_ms,rollout_termination_rate
8.200000000000000622e-01,1.506614685058593750e-02,4.147529602050781250e-02,-1.805996894836425781e-02,1.165675073862075806e-01,3.158146515488624573e-02,3.770954161882400513e-02,8.135928213596343994e-02,1.252932548522949219e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.817879638671875000e+02,0.000000000000000000e+00
8.399999999999999689e-01,1.295852661132812500e-02,3.649330139160156250e-02,-1.835739612579345703e-02,1.189297959208488464e-01,2.614612132310867310e-02,3.815361484885215759e-02,8.126726746559143066e-02,1.247802451252937317e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.709101562500000000e+02,0.000000000000000000e+00
8.599999999999999867e-01,1.083946228027343750e-02,3.216743469238281250e-02,-1.628100872039794922e-02,1.142837926745414734e-01,2.367594651877880096e-02,3.784997016191482544e-02,8.085441589355468750e-02,1.239514946937561035e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.811187133789062500e+02,0.000000000000000000e+00
8.800000000000000044e-01,5.495071411132812500e-03,2.967453002929687500e-02,-1.246958971023559570e-02,1.116826310753822327e-01,2.356760762631893158e-02,3.544201329350471497e-02,8.047259598970413208e-02,1.234962269663810730e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.715306091308593750e+02,0.000000000000000000e+00
9.000000000000000222e-01,-2.706527709960937500e-03,2.977180480957031250e-02,-1.055759191513061523e-02,1.100040301680564880e-01,2.661960944533348083e-02,3.102087602019309998e-02,8.203442394733428955e-02,1.230346858501434326e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.695027770996093750e+02,0.000000000000000000e+00
9.200000000000000400e-01,-9.267807006835937500e-03,3.123283386230468750e-02,-8.674085140228271484e-03,1.143338754773139954e-01,3.097769618034362793e-02,3.593158721923828125e-02,9.852319210767745972e-02,1.228157877922058105e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.897152709960937500e+02,0.000000000000000000e+00
9.400000000000000577e-01,-1.585388183593750000e-02,3.294181823730468750e-02,-7.216632366180419922e-03,1.162396073341369629e-01,3.496063128113746643e-02,4.039741680026054382e-02,1.093636900186538696e-01,1.224657967686653137e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.777744140625000000e+02,0.000000000000000000e+00
9.599999999999999645e-01,-2.007675170898437500e-02,3.484344482421875000e-02,-5.741894245147705078e-03,1.185259297490119934e-01,3.797918185591697693e-02,4.223556444048881531e-02,1.184506937861442566e-01,1.229415088891983032e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.638931579589843750e+02,0.000000000000000000e+00
9.799999999999999822e-01,-2.173805236816406250e-02,3.662681579589843750e-02,-4.255831241607666016e-03,1.174198240041732788e-01,4.108977317810058594e-02,4.338527843356132507e-02,1.257142424583435059e-01,1.226933747529983521e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.728135986328125000e+02,0.000000000000000000e+00
1.000000000000000000e+00,-2.148818969726562500e-02,3.809165954589843750e-02,-2.901792526245117188e-03,1.151239871978759766e-01,4.348294064402580261e-02,4.514914378523826599e-02,1.321178078651428223e-01,1.223924979567527771e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.766448974609375000e+02,0.000000000000000000e+00
